  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
 443.2   -167.9      6.83 0.030         0.0      0.0      0.0   1810         
 448.2   -168.2      6.64 0.029         0.0      0.0      0.0   1833         
 453.2   -168.5      6.33 0.028         0.0      0.0      0.0   1856         
 458.0   -168.6      6.22 0.027         0.0      0.0      0.0   1879         
 463.3   -170.6      4.24 0.019         0.0      0.0      0.0   1903         
 468.6   -170.0      4.83 0.021         0.0      0.0      0.0   1925         
 474.6   -170.1      4.75 0.021         0.0      0.0      0.0   1948         
 479.7   -170.2      4.62 0.020         0.0      0.0      0.0   1971         
 484.4   -170.4      4.51 0.020         0.0      0.0      0.0   1994         
 489.5   -170.7      4.17 0.018         0.0      0.0      0.0   2018         
 494.3   -169.6      5.35 0.024         0.0      0.0      0.0   2040         
 499.1   -169.5      5.47 0.024         0.0      0.0      0.0   2063         
 503.9   -168.8      6.26 0.028         0.0      0.0      0.0   2086         
 508.4   -167.9      7.08 0.031         0.0      0.0      0.0   2109         
 513.9   -168.9      6.09 0.027         0.0      0.0      0.0   2131         
 519.9   -167.4      7.65 0.034         0.0      0.0      0.0   2154         
 525.7   -167.7      7.40 0.033         0.0      0.0      0.0   2177         
 531.1   -168.3      6.78 0.030         0.0      0.0      0.0   2201         
 554.3   -168.3      7.01 0.031         0.0      0.0      0.0   2296         
 559.5   -167.6      7.74 0.034         0.0      0.0      0.0   2319         
 564.8   -170.6      4.71 0.021         0.0      0.0      0.0   2343         
 568.8   -168.9      6.47 0.029         0.0      0.0      0.0   2366         
 573.7   -170.1      5.32 0.023         0.0      0.0      0.0   2390         
 578.0   -170.8      4.65 0.021         0.0      0.0      0.0   2413         
 583.3   -174.4      1.11 0.005         0.0      0.0      0.0   2437         
 588.2   -170.7      4.76 0.021         0.0      0.0      0.0   2460         
 593.8   -174.4      1.09 0.005         0.0      0.0      0.0   2484         
 599.1   -173.2      2.34 0.010         0.0      0.0      0.0   2507         
 604.1   -173.6      1.99 0.009         0.0      0.0      0.0   2530         
 609.4   -175.0      0.65 0.003         0.0      0.0      0.0   2553         
 614.7   -171.7      3.95 0.017         0.0      0.0      0.0   2577         
 620.0   -173.4      2.33 0.010         0.0      0.0      0.0   2601         
 624.7   -174.1      1.64 0.007         0.0      0.0      0.0   2624         
 629.1   -174.0      1.75 0.008         0.0      0.0      0.0   2648         
 633.9   -174.3      1.61 0.007         0.0      0.0      0.0   2670         
 638.6   -171.5      4.49 0.020         0.0      0.0      0.0   2694         
 643.6   -172.6      3.35 0.015         0.0      0.0      0.0   2718         
 648.4   -173.7      2.28 0.010         0.0      0.0      0.0   2741         
 654.4   -174.1      1.91 0.008         0.0      0.0      0.0   2764         
 659.8   -174.4      1.68 0.007         0.0      0.0      0.0   2788         
 665.2   -174.1      1.92 0.008         0.0      0.0      0.0   2811         
 671.0   -174.3      1.79 0.008         0.0      0.0      0.0   2834         
 676.1   -175.9      0.23 0.001         0.0      0.0      0.0   2858         
 681.9   -174.2      1.88 0.008         0.0      0.0      0.0   2881         
 691.5   -173.8      2.33 0.010         0.0      0.0      0.0   2929         
 696.0   -174.2      1.96 0.009         0.0      0.0      0.0   2953         
 697.3   -172.9      3.28 0.014         0.0      0.0      0.0   2977         
 698.9   -174.6      1.56 0.007         0.0      0.0      0.0   3000         
 699.3   -175.9      0.28 0.001         0.0      0.0      0.0   3024         
 702.8   -174.4      1.79 0.008         0.0      0.0      0.0   3048         
 702.8   -174.4      1.79 0.008         0.0      0.0      0.0   3071         
 699.3   -174.3      1.90 0.008         0.0      0.0      0.0   3094         
 698.3   -174.9      1.30 0.006         0.0      0.0      0.0   3117         
 695.1   -175.6      0.60 0.003         0.0      0.0      0.0   3141         
 690.5   -174.7      1.43 0.006         0.0      0.0      0.0   3165         
 687.0   -174.2      1.88 0.008         0.0      0.0      0.0   3189         
 684.4   -174.6      1.50 0.007         0.0      0.0      0.0   3211         
 681.2   -174.9      1.17 0.005         0.0      0.0      0.0   3235         
 671.9   -174.8      1.18 0.005         0.0      0.0      0.0   3283         
 668.4   -175.6      0.36 0.002         0.0      0.0      0.0   3307         
 664.9   -174.3      1.56 0.007         0.0      0.0      0.0   3330         
 660.5   -174.2      1.67 0.007         0.0      0.0      0.0   3353         
 655.1   -174.7      1.13 0.005         0.0      0.0      0.0   3376         
 650.6   -175.7      0.10 0.000         0.0      0.0      0.0   3400         
 646.2   -175.3      0.44 0.002         0.0      0.0      0.0   3423         
 637.0   -174.7      0.97 0.004         0.0      0.0      0.0   3470         
 631.6   -174.5      1.10 0.005         0.0      0.0      0.0   3494         
 626.9   -174.6      0.99 0.004         0.0      0.0      0.0   3518         
 621.6   -174.1      1.47 0.006         0.0      0.0      0.0   3541         
 608.1   -174.1      1.28 0.006         0.0      0.0      0.0   3612         
 603.1   -174.4      1.03 0.005         0.0      0.0      0.0   3635         
 598.8   -174.0      1.25 0.006         0.0      0.0      0.0   3658         
 586.0   -174.0      1.19 0.005         0.0      0.0      0.0   3729         
 581.4   -173.4      1.79 0.008         0.0      0.0      0.0   3752         
 571.5   -174.5      0.58 0.003         0.0      0.0      0.0   3800         
 566.6   -174.0      1.13 0.005         0.0      0.0      0.0   3823         
 561.7   -173.2      1.84 0.008         0.0      0.0      0.0   3846         
 556.8   -173.2      1.81 0.008         0.0      0.0      0.0   3869         
 551.3   -172.7      2.30 0.010         0.0      0.0      0.0   3891         
 541.2   -174.0      0.87 0.004         0.0      0.0      0.0   3937         
 536.3   -173.7      1.17 0.005         0.0      0.0      0.0   3961         
 531.4   -173.6      1.15 0.005         0.0      0.0      0.0   3985         
 527.2   -173.0      1.82 0.008         0.0      0.0      0.0   4007         
 522.3   -173.2      1.55 0.007         0.0      0.0      0.0   4031         
 517.5   -172.3      2.44 0.011         0.0      0.0      0.0   4055         
 512.4   -172.9      1.78 0.008         0.0      0.0      0.0   4079         
 506.6   -174.3      0.39 0.002         0.0      0.0      0.0   4103         
 501.5   -172.7      1.95 0.009         0.0      0.0      0.0   4125         
 496.1   -171.9      2.71 0.012         0.0      0.0      0.0   4149         
 485.9   -172.6      2.01 0.009         0.0      0.0      0.0   4196         
 480.8   -172.6      2.00 0.009         0.0      0.0      0.0   4218         
 475.2   -173.0      1.52 0.007         0.0      0.0      0.0   4241         
 470.1   -172.9      1.63 0.007         0.0      0.0      0.0   4264         
 465.1   -172.7      1.87 0.008         0.0      0.0      0.0   4287         
 460.3   -173.1      1.40 0.006         0.0      0.0      0.0   4310         
 455.3   -172.3      2.24 0.010         0.0      0.0      0.0   4334         
 450.3   -172.5      1.97 0.009         0.0      0.0      0.0   4356         
 445.0   -173.0      1.50 0.007         0.0      0.0      0.0   4379         
 439.9   -173.0      1.51 0.007         0.0      0.0      0.0   4402         
 434.1   -172.0      2.57 0.011         0.0      0.0      0.0   4426         
 429.4   -172.6      1.97 0.009         0.0      0.0      0.0   4448         
 424.7   -172.6      1.98 0.009         0.0      0.0      0.0   4471         
 420.3   -172.4      2.18 0.010         0.0      0.0      0.0   4494         
 415.6   -172.5      2.04 0.009         0.0      0.0      0.0   4517         
 410.7   -172.4      2.16 0.010         0.0      0.0      0.0   4539         
 405.4   -172.2      2.33 0.010         0.0      0.0      0.0   4562         
 400.5   -171.3      3.20 0.014         0.0      0.0      0.0   4585         
 395.5   -172.0      2.49 0.011         0.0      0.0      0.0   4608         
 390.3   -171.5      2.96 0.013         0.0      0.0      0.0   4630         
 385.1   -171.6      2.83 0.012         0.0      0.0      0.0   4653         
 379.6   -171.4      3.01 0.013         0.0      0.0      0.0   4676         
 374.4   -171.1      3.29 0.015         0.0      0.0      0.0   4699         
 369.6   -170.8      3.57 0.016         0.0      0.0      0.0   4722         
 364.7   -170.8      3.56 0.016         0.0      0.0      0.0   4744         
 359.5   -170.5      3.81 0.017         0.0      0.0      0.0   4767         
 354.1   -170.5      3.83 0.017         0.0      0.0      0.0   4790         
 349.2   -170.2      4.09 0.018         0.0      0.0      0.0   4813         
 344.4   -169.4      4.87 0.021         0.0      0.0      0.0   4836         
 339.5   -164.5      9.72 0.043         0.0      0.0      0.0   4859         
 334.7   -151.1     23.17 0.102         0.0      0.0      0.0   4882         
 329.9   -119.6     54.69 0.241         0.0      0.0      0.0   4904         
 324.5    -25.9    148.40 0.655         0.0      0.0      0.0   4927         
 319.1     34.4    208.71 0.921         0.0      0.0      0.0   4950         
 314.0     52.2    226.54 1.000         0.0      0.0      0.0   4973         
 308.4     45.1    219.40 0.968         0.0      0.0      0.0   4996         
 303.3     34.4    208.69 0.921         0.0      0.0      0.0   5019         
 298.0     23.5    197.78 0.873         0.0      0.0      0.0   5041         
 292.7     14.0    188.26 0.831         0.0      0.0      0.0   5064         
 287.6      5.2    179.57 0.793         0.0      0.0      0.0   5087         
 282.6     -2.1    172.20 0.760         0.0      0.0      0.0   5110         
 277.8     -9.7    164.64 0.727         0.0      0.0      0.0   5132         
 272.8    -16.3    157.87 0.697         0.0      0.0      0.0   5155         
 267.8    -23.1    151.09 0.667         0.0      0.0      0.0   5178         
 262.3    -29.8    144.36 0.637         0.0      0.0      0.0   5201         
 257.3    -35.3    138.85 0.613         0.0      0.0      0.0   5224         
 252.3    -40.5    133.53 0.589         0.0      0.0      0.0   5246         
 247.0    -45.4    128.68 0.568         0.0      0.0      0.0   5269         
 241.8    -49.8    124.20 0.548         0.0      0.0      0.0   5292         
 237.1    -53.7    120.30 0.531         0.0      0.0      0.0   5315         
 231.9    -57.9    116.14 0.513         0.0      0.0      0.0   5338         
 226.7    -61.3    112.75 0.498         0.0      0.0      0.0   5360         
 221.2    -63.9    110.11 0.486         0.0      0.0      0.0   5383         
 216.0    -66.9    107.12 0.473         0.0      0.0      0.0   5406         
 210.5    -70.3    103.70 0.458         0.0      0.0      0.0   5429         
 205.3    -72.7    101.31 0.447         0.0      0.0      0.0   5451         
 199.9    -74.9     99.07 0.437         0.0      0.0      0.0   5474         
 195.0    -76.7     97.28 0.429         0.0      0.0      0.0   5497         
 189.6    -78.9     95.01 0.419         0.0      0.0      0.0   5520         
 184.7    -79.1     94.77 0.418         0.0      0.0      0.0   5543         
 180.1    -81.4     92.47 0.408         0.0      0.0      0.0   5566         
 175.5    -84.3     89.58 0.395         0.0      0.0      0.0   5588         
 170.9    -84.3     89.56 0.395         0.0      0.0      0.0   5612         
