TEMP	CSUSC
251.2	593.94
248.1	588.9551
245.3	584.98
242.3	580.9465
239.5	576.9767
236.1	573.0076
233.3	569.0696
229.9	566.07
227.2	561.9629
223.7	560.1
221	557.027
217.9	554.9268
215.2	550.84
211.8	549.8562
209.1	545.8416
206	544.8165
203.3	541.8132
200.3	540.9113
197.9	537.8645
194.8	536.8676
192.5	534.8925
189.4	532.956
186.7	530.8677
183.7	529.8184
181.3	527.9153
178.3	526.84
175.9	524.84
172.9	523.84
170.6	521.8296
167.5	521.8674
165.2	519.8535
162.2	518.8548
159.8	516.7265
157.1	516.7703
154.8	514.8508
152.1	514.82
149.5	512.82
146.8	513.8047
144.5	510.8154
141.8	511.86
139.5	509.8154
136.5	510.81
134.1	508.786
131.5	508.7242
129.2	507.78
126.5	507.765
124.2	506.7765
121.5	506.7908
119.2	505.8243
116.6	505.9
114.3	504.9
112	504.8856
109.7	503.8956
107.3	503.894
105.4	502.913
103.4	502.96
101.4	501.9767
99.5	501.9679
97.5	500.8869
95.5	500.9331
93.5	499.9758
91.6	499.9935
89.9	500.0244
88	499.0326
86.3	499
84.7	498.03
82.7	498.103
81.1	497.1148
79.1	497.1526
77.5	497.1434
75.5	497.1733
73.9	496.04
72.3	496.02
70.7	496.004
69	495.97
67.4	495
65.8	496
64.5	495
62.8	495.9775
61.5	495.1426
59.9	496.1163
58.6	496.1
56.4	497.04
54.4	497.04
