Temp (degree) 	Susc
267.3	-3.1
264.5	-5.4
261.7	-7.6
258.7	-9.7
255.6	-11.4
252.3	-13.6
249	-15.3
245.9	-16.9
242.9	-18.4
239.6	-19.7
236.6	-21.1
233.5	-22.4
230.8	-23.3
227.8	-24.6
225	-25.6
222	-26.5
219.3	-27.5
216.8	-28.4
214.1	-29.1
211.3	-30.1
208.9	-30.6
206.2	-31.3
203.7	-32.2
201.3	-32.8
198.5	-33.6
195.5	-34.4
192.6	-35.4
189.3	-36.2
186.3	-36.9
183.1	-37.4
180.4	-38.2
177.7	-38.6
175	-39.4
172.5	-39.8
169.8	-40.3
167.4	-40.7
165	-41.4
162.3	-41.7
159.9	-42.2
157.5	-42.7
154.8	-43.2
152.1	-43.6
149.4	-44.2
146.5	-44.7
143.8	-45.2
141.4	-45.5
138.7	-45.9
136.3	-46.4
133.9	-46.8
131.3	-47.1
128.9	-47.4
126.5	-47.9
123.8	-48.3
120.9	-48.8
118.2	-49.1
115.3	-49.6
112.4	-50.1
109.5	-50.4
106.6	-50.8
104.2	-51
101.8	-51.2
99.5	-51.5
97.4	-51.8
95.3	-51.9
93.2	-52.2
90.8	-52.4
88.9	-52.7
86.8	-52.9
84.7	-53.2
82.9	-53.2
81.1	-53.5
79	-53.7
77.1	-53.9
75.3	-54.1
73.2	-54.2
71.4	-54.5
69.6	-54.6
68	-54.8
66.2	-54.9
64.3	-55.1
62.8	-55.2
61.2	-55.4
59.4	-55.5
57.6	-55.6
55.5	-55.8
53.1	-56.1
50.5	-56.3
48.2	-56.5
45.9	-56.7
43.5	-56.8
41.7	-56.9
39.9	-57
