  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
 452.3   -142.4     32.43 0.311         0.0      0.0      0.0   1804         
 457.7   -148.8     26.02 0.249         0.0      0.0      0.0   1826         
 463.0   -153.7     21.14 0.203         0.0      0.0      0.0   1849         
 468.3   -156.9     17.93 0.172         0.0      0.0      0.0   1872         
 473.1   -158.9     15.95 0.153         0.0      0.0      0.0   1895         
 477.9   -160.4     14.42 0.138         0.0      0.0      0.0   1917         
 482.9   -160.9     13.99 0.134         0.0      0.0      0.0   1940         
 488.0   -161.7     13.17 0.126         0.0      0.0      0.0   1963         
 493.1   -162.0     12.94 0.124         0.0      0.0      0.0   1986         
 498.8   -162.2     12.77 0.122         0.0      0.0      0.0   2009         
 504.2   -162.2     12.79 0.123         0.0      0.0      0.0   2031         
 509.6   -162.8     12.19 0.117         0.0      0.0      0.0   2054         
 514.8   -162.4     12.62 0.121         0.0      0.0      0.0   2077         
 520.5   -162.8     12.25 0.117         0.0      0.0      0.0   2100         
 525.1   -162.6     12.49 0.120         0.0      0.0      0.0   2122         
 530.5   -162.8     12.28 0.118         0.0      0.0      0.0   2145         
 536.0   -162.7     12.45 0.119         0.0      0.0      0.0   2168         
 541.5   -163.5     11.69 0.112         0.0      0.0      0.0   2190         
 547.0   -163.2     11.98 0.115         0.0      0.0      0.0   2213         
 551.9   -164.1     11.17 0.107         0.0      0.0      0.0   2236         
 557.1   -164.1     11.22 0.108         0.0      0.0      0.0   2259         
 562.0   -164.1     11.26 0.108         0.0      0.0      0.0   2282         
 566.9   -165.1     10.20 0.098         0.0      0.0      0.0   2305         
 571.8   -165.0     10.40 0.100         0.0      0.0      0.0   2328         
 576.5   -165.3     10.14 0.097         0.0      0.0      0.0   2351         
 581.4   -165.9      9.59 0.092         0.0      0.0      0.0   2374         
 586.7   -166.4      9.06 0.087         0.0      0.0      0.0   2397         
 591.9   -166.8      8.66 0.083         0.0      0.0      0.0   2419         
 596.9   -166.6      8.92 0.085         0.0      0.0      0.0   2442         
 601.9   -167.6      7.97 0.076         0.0      0.0      0.0   2466         
 606.3   -167.0      8.62 0.083         0.0      0.0      0.0   2488         
 610.9   -167.7      7.93 0.076         0.0      0.0      0.0   2511         
 615.3   -167.5      8.19 0.079         0.0      0.0      0.0   2534         
 620.0   -167.6      8.13 0.078         0.0      0.0      0.0   2557         
 625.0   -167.8      7.94 0.076         0.0      0.0      0.0   2580         
 630.4   -167.7      8.14 0.078         0.0      0.0      0.0   2603         
 636.7   -168.1      7.86 0.075         0.0      0.0      0.0   2626         
 642.4   -168.3      7.65 0.073         0.0      0.0      0.0   2648         
 647.4   -168.5      7.48 0.072         0.0      0.0      0.0   2671         
 651.6   -168.2      7.80 0.075         0.0      0.0      0.0   2694         
 656.0   -168.5      7.52 0.072         0.0      0.0      0.0   2717         
 661.4   -168.7      7.40 0.071         0.0      0.0      0.0   2740         
 666.8   -168.8      7.21 0.069         0.0      0.0      0.0   2763         
 672.6   -169.8      6.30 0.060         0.0      0.0      0.0   2787         
 678.3   -168.8      7.29 0.070         0.0      0.0      0.0   2810         
 684.4   -168.7      7.41 0.071         0.0      0.0      0.0   2833         
 689.9   -170.1      6.02 0.058         0.0      0.0      0.0   2856         
 695.7   -169.4      6.74 0.065         0.0      0.0      0.0   2879         
 698.9   -169.2      6.96 0.067         0.0      0.0      0.0   2902         
 702.5   -169.3      6.89 0.066         0.0      0.0      0.0   2924         
 704.8   -169.9      6.29 0.060         0.0      0.0      0.0   2948         
 705.7   -169.3      6.89 0.066         0.0      0.0      0.0   2971         
 706.7   -169.1      7.09 0.068         0.0      0.0      0.0   2994         
 707.3   -169.3      6.89 0.066         0.0      0.0      0.0   3017         
 705.7   -169.4      6.79 0.065         0.0      0.0      0.0   3039         
 703.8   -169.3      6.89 0.066         0.0      0.0      0.0   3062         
 701.2   -169.9      6.29 0.060         0.0      0.0      0.0   3086         
 698.9   -169.1      7.10 0.068         0.0      0.0      0.0   3109         
 695.1   -168.9      7.30 0.070         0.0      0.0      0.0   3132         
 691.8   -169.1      7.07 0.068         0.0      0.0      0.0   3155         
 687.7   -168.9      7.19 0.069         0.0      0.0      0.0   3178         
 683.5   -168.7      7.39 0.071         0.0      0.0      0.0   3200         
 679.0   -168.9      7.16 0.069         0.0      0.0      0.0   3223         
 673.9   -168.4      7.58 0.073         0.0      0.0      0.0   3246         
 669.4   -168.2      7.76 0.074         0.0      0.0      0.0   3269         
 664.6   -168.5      7.36 0.071         0.0      0.0      0.0   3292         
 660.5   -168.4      7.47 0.072         0.0      0.0      0.0   3314         
 656.0   -168.2      7.63 0.073         0.0      0.0      0.0   3337         
 651.6   -168.0      7.81 0.075         0.0      0.0      0.0   3360         
 647.4   -167.9      7.85 0.075         0.0      0.0      0.0   3383         
 642.7   -167.7      7.97 0.076         0.0      0.0      0.0   3406         
 638.6   -167.8      7.88 0.076         0.0      0.0      0.0   3429         
 633.9   -167.2      8.42 0.081         0.0      0.0      0.0   3452         
 628.8   -167.1      8.50 0.082         0.0      0.0      0.0   3475         
 624.4   -166.9      8.67 0.083         0.0      0.0      0.0   3498         
 619.7   -166.7      8.86 0.085         0.0      0.0      0.0   3520         
 614.7   -166.8      8.66 0.083         0.0      0.0      0.0   3543         
 609.7   -166.7      8.70 0.083         0.0      0.0      0.0   3566         
 605.0   -166.1      9.32 0.089         0.0      0.0      0.0   3590         
 600.3   -165.5      9.79 0.094         0.0      0.0      0.0   3612         
 595.4   -165.2     10.08 0.097         0.0      0.0      0.0   3635         
 590.7   -164.6     10.62 0.102         0.0      0.0      0.0   3658         
 585.7   -164.2     10.99 0.105         0.0      0.0      0.0   3681         
 580.8   -163.5     11.69 0.112         0.0      0.0      0.0   3704         
 575.8   -163.2     11.95 0.115         0.0      0.0      0.0   3727         
 570.6   -162.5     12.56 0.120         0.0      0.0      0.0   3749         
 565.4   -161.9     13.23 0.127         0.0      0.0      0.0   3772         
 560.1   -161.5     13.52 0.130         0.0      0.0      0.0   3795         
 555.2   -160.8     14.19 0.136         0.0      0.0      0.0   3818         
 550.3   -160.8     14.19 0.136         0.0      0.0      0.0   3841         
 545.8   -160.0     14.92 0.143         0.0      0.0      0.0   3863         
 540.3   -159.5     15.36 0.147         0.0      0.0      0.0   3886         
 536.0   -159.4     15.47 0.148         0.0      0.0      0.0   3909         
 531.1   -158.8     16.02 0.154         0.0      0.0      0.0   3932         
 526.6   -158.6     16.22 0.155         0.0      0.0      0.0   3955         
 521.7   -158.1     16.66 0.160         0.0      0.0      0.0   3978         
 516.6   -157.8     16.93 0.162         0.0      0.0      0.0   4001         
 511.8   -157.3     17.37 0.167         0.0      0.0      0.0   4024         
 506.6   -156.7     17.99 0.172         0.0      0.0      0.0   4047         
 501.2   -156.5     18.14 0.174         0.0      0.0      0.0   4069         
 495.8   -156.4     18.21 0.175         0.0      0.0      0.0   4092         
 490.1   -155.4     19.23 0.184         0.0      0.0      0.0   4115         
 484.7   -155.3     19.31 0.185         0.0      0.0      0.0   4138         
 479.7   -154.9     19.70 0.189         0.0      0.0      0.0   4161         
 474.9   -154.1     20.42 0.196         0.0      0.0      0.0   4183         
 469.8   -154.1     20.43 0.196         0.0      0.0      0.0   4206         
 464.8   -153.7     20.87 0.200         0.0      0.0      0.0   4229         
 459.4   -153.3     21.19 0.203         0.0      0.0      0.0   4252         
 453.8   -152.9     21.60 0.207         0.0      0.0      0.0   4275         
 448.2   -152.6     21.91 0.210         0.0      0.0      0.0   4298         
 442.3   -151.9     22.59 0.217         0.0      0.0      0.0   4321         
 437.0   -152.3     22.22 0.213         0.0      0.0      0.0   4344         
 432.0   -151.4     23.19 0.222         0.0      0.0      0.0   4367         
 427.0   -150.5     24.08 0.231         0.0      0.0      0.0   4390         
 422.0   -151.4     23.19 0.222         0.0      0.0      0.0   4412         
 416.5   -150.2     24.38 0.234         0.0      0.0      0.0   4435         
 411.5   -150.3     24.20 0.232         0.0      0.0      0.0   4458         
 406.6   -150.2     24.38 0.234         0.0      0.0      0.0   4481         
 401.3   -149.6     24.90 0.239         0.0      0.0      0.0   4504         
 396.1   -150.2     24.29 0.233         0.0      0.0      0.0   4527         
 390.3   -149.5     24.96 0.239         0.0      0.0      0.0   4550         
 385.1   -149.0     25.43 0.244         0.0      0.0      0.0   4573         
