  TEMP    TSUSC     CSUSC	 NSUSC       BULKS    FERRT    FERRB   TIME  jrpsept
 486.5    -44.0    133.27	 0.994         0.0      0.0      0.0   1985         
 491.6    -44.5    132.82	 0.990         0.0      0.0      0.0   2008         
 497.6    -46.3    131.04	 0.977         0.0      0.0      0.0   2031         
 502.7    -47.8    129.61	 0.967         0.0      0.0      0.0   2054         
 508.1    -50.2    127.25	 0.949         0.0      0.0      0.0   2077         
 513.3    -53.7    123.66	 0.922         0.0      0.0      0.0   2100         
 517.8    -56.9    120.55	 0.899         0.0      0.0      0.0   2122         
 521.7    -59.8    117.69	 0.878         0.0      0.0      0.0   2145         
 526.3    -65.4    112.01	 0.835         0.0      0.0      0.0   2168         
 531.1    -69.8    107.69	 0.803         0.0      0.0      0.0   2191         
 536.6    -75.4    102.23	 0.762         0.0      0.0      0.0   2213         
 541.2    -80.2     97.55	 0.727         0.0      0.0      0.0   2236         
 546.1    -84.8     92.82	 0.692         0.0      0.0      0.0   2259         
 551.0    -88.5     89.43	 0.667         0.0      0.0      0.0   2282         
 555.2    -91.8     86.02	 0.641         0.0      0.0      0.0   2305         
 560.5    -95.0     82.76	 0.617         0.0      0.0      0.0   2327         
 566.3    -98.3     79.55	 0.593         0.0      0.0      0.0   2350         
 571.2   -100.1     77.94	 0.581         0.0      0.0      0.0   2373         
 575.8   -102.2     75.79	 0.565         0.0      0.0      0.0   2396         
 581.4   -104.7     73.40	 0.547         0.0      0.0      0.0   2419         
 587.0   -106.9     71.30	 0.532         0.0      0.0      0.0   2441         
 591.9   -108.6     69.75	 0.520         0.0      0.0      0.0   2464         
 596.9   -110.2     68.17	 0.508         0.0      0.0      0.0   2487         
 601.9   -111.5     66.82	 0.498         0.0      0.0      0.0   2510         
 605.9   -113.6     64.72	 0.483         0.0      0.0      0.0   2533         
 610.6   -114.2     64.22	 0.479         0.0      0.0      0.0   2555         
 615.3   -115.5     62.94	 0.469         0.0      0.0      0.0   2578         
 621.3   -117.4     61.02	 0.455         0.0      0.0      0.0   2601         
 626.3   -118.2     60.26	 0.449         0.0      0.0      0.0   2623         
 630.7   -119.7     58.85	 0.439         0.0      0.0      0.0   2646         
 635.4   -120.6     57.83	 0.431         0.0      0.0      0.0   2669         
