  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIMEty-holder
 491.9     61.1    240.00 0.554         0.0      0.0      0.0   2345         
 496.4     49.1    228.10 0.526         0.0      0.0      0.0   2370         
 501.5     32.5    211.53 0.488         0.0      0.0      0.0   2396         
 506.8     18.3    198.00 0.457         0.0      0.0      0.0   2422         
 511.0      9.2    188.48 0.435         0.0      0.0      0.0   2447         
 515.8     -4.6    174.74 0.403         0.0      0.0      0.0   2473         
 520.5    -18.8    160.36 0.370         0.0      0.0      0.0   2499         
 525.7    -35.2    143.74 0.332         0.0      0.0      0.0   2525         
 531.0    -50.7    128.26 0.296         0.0      0.0      0.0   2550         
 536.3    -64.1    114.95 0.265         0.0      0.0      0.0   2576         
 541.2    -73.0    106.19 0.245         0.0      0.0      0.0   2602         
 546.7    -77.9    101.39 0.234         0.0      0.0      0.0   2627         
 551.7    -79.9     99.75 0.230         0.0      0.0      0.0   2653         
 556.5    -84.8     94.58 0.218         0.0      0.0      0.0   2679         
 561.8    -95.6     83.70 0.193         0.0      0.0      0.0   2705         
 568.0   -117.9     61.56 0.142         0.0      0.0      0.0   2730         
 574.0   -136.1     43.66 0.101         0.0      0.0      0.0   2756         
 579.5   -150.3     29.43 0.068         0.0      0.0      0.0   2782         
 585.1   -157.7     22.23 0.051         0.0      0.0      0.0   2807         
 590.5   -163.5     16.51 0.038         0.0      0.0      0.0   2833         
 595.7   -167.2     12.59 0.029         0.0      0.0      0.0   2859         
 601.0   -168.9     10.47 0.024         0.0      0.0      0.0   2885         
 606.3   -170.7      9.32 0.021         0.0      0.0      0.0   2910         
 610.2   -171.0      9.00 0.021         0.0      0.0      0.0   2936         
 614.2   -170.5      9.36 0.022         0.0      0.0      0.0   2962         
 619.7   -171.4      8.75 0.020         0.0      0.0      0.0   2988         
 625.2   -172.2      8.36 0.019         0.0      0.0      0.0   3013         
 630.1   -172.0      8.22 0.019         0.0      0.0      0.0   3039         
 635.1   -172.8      6.91 0.016         0.0      0.0      0.0   3065         
 639.7   -172.5      7.68 0.018         0.0      0.0      0.0   3091         
 644.8   -172.3      7.56 0.017         0.0      0.0      0.0   3116         
 649.8   -172.7      7.14 0.016         0.0      0.0      0.0   3142         
 656.0   -172.0      7.95 0.018         0.0      0.0      0.0   3167         
 661.9   -172.7      7.91 0.018         0.0      0.0      0.0   3193         
 668.0   -172.7      7.77 0.018         0.0      0.0      0.0   3219         
 672.9   -173.0      7.58 0.017         0.0      0.0      0.0   3245         
 677.2   -172.6      7.93 0.018         0.0      0.0      0.0   3270         
 682.7   -172.2      7.98 0.018         0.0      0.0      0.0   3296         
 687.5   -173.0      7.34 0.017         0.0      0.0      0.0   3322         
 692.5   -173.3      6.77 0.016         0.0      0.0      0.0   3347         
 694.9   -172.1      8.08 0.019         0.0      0.0      0.0   3373         
 696.8   -172.9      7.54 0.017         0.0      0.0      0.0   3399         
 698.6   -173.3      6.79 0.016         0.0      0.0      0.0   3424         
 698.8   -173.0      7.02 0.016         0.0      0.0      0.0   3450         
 698.1   -171.7      8.90 0.021         0.0      0.0      0.0   3475         
 694.9   -172.0      8.67 0.020         0.0      0.0      0.0   3501         
 692.3   -172.3      8.33 0.019         0.0      0.0      0.0   3527         
 689.6   -172.8      8.14 0.019         0.0      0.0      0.0   3552         
 686.2   -172.2      8.53 0.020         0.0      0.0      0.0   3578         
 681.6   -172.5      8.13 0.019         0.0      0.0      0.0   3604         
 678.3   -171.9      8.75 0.020         0.0      0.0      0.0   3629         
 674.5   -171.7      8.73 0.020         0.0      0.0      0.0   3655         
 669.1   -172.3      7.88 0.018         0.0      0.0      0.0   3681         
 664.6   -172.5      7.64 0.018         0.0      0.0      0.0   3707         
 660.6   -171.0      8.96 0.021         0.0      0.0      0.0   3733         
 656.6   -172.6      7.62 0.018         0.0      0.0      0.0   3758         
 651.7   -171.7      8.50 0.020         0.0      0.0      0.0   3784         
 647.1   -171.4      8.82 0.020         0.0      0.0      0.0   3810         
 643.5   -172.1      8.06 0.019         0.0      0.0      0.0   3835         
 639.7   -171.5      8.61 0.020         0.0      0.0      0.0   3861         
 634.8   -171.1      8.93 0.021         0.0      0.0      0.0   3887         
 630.2   -170.6      9.77 0.023         0.0      0.0      0.0   3913         
 626.1   -170.3      9.76 0.023         0.0      0.0      0.0   3938         
 622.1   -170.5      9.55 0.022         0.0      0.0      0.0   3964         
 617.0   -170.7      9.27 0.021         0.0      0.0      0.0   3990         
 612.3   -170.0     10.25 0.024         0.0      0.0      0.0   4016         
 608.0   -170.1      9.13 0.021         0.0      0.0      0.0   4041         
 603.6   -170.1     10.08 0.023         0.0      0.0      0.0   4067         
 599.2   -169.3     10.50 0.024         0.0      0.0      0.0   4093         
 594.1   -168.7     10.89 0.025         0.0      0.0      0.0   4119         
 589.6   -167.1     12.63 0.029         0.0      0.0      0.0   4144         
 585.4   -165.8     13.54 0.031         0.0      0.0      0.0   4170         
 579.5   -162.5     16.98 0.039         0.0      0.0      0.0   4196         
 575.2   -157.7     21.83 0.050         0.0      0.0      0.0   4230         
 570.3   -154.5     24.70 0.057         0.0      0.0      0.0   4256         
 565.8   -149.8     29.12 0.067         0.0      0.0      0.0   4282         
 561.5   -147.2     31.46 0.073         0.0      0.0      0.0   4307         
 556.9   -143.1     35.35 0.082         0.0      0.0      0.0   4333         
 552.5   -138.9     39.40 0.091         0.0      0.0      0.0   4359         
 547.9   -133.5     44.65 0.103         0.0      0.0      0.0   4385         
 542.7   -125.6     52.55 0.121         0.0      0.0      0.0   4410         
 537.8   -113.9     64.05 0.148         0.0      0.0      0.0   4436         
 532.7    -98.2     79.67 0.184         0.0      0.0      0.0   4462         
 527.8    -76.7    101.09 0.233         0.0      0.0      0.0   4488         
 522.3    -45.5    132.14 0.305         0.0      0.0      0.0   4513         
 517.0    -11.0    166.74 0.385         0.0      0.0      0.0   4539         
 512.1     24.5    202.34 0.467         0.0      0.0      0.0   4565         
 507.2     62.9    240.67 0.555         0.0      0.0      0.0   4590         
 502.1    101.2    278.91 0.643         0.0      0.0      0.0   4616         
 497.0    131.7    309.51 0.714         0.0      0.0      0.0   4642         
 492.7    156.1    333.58 0.770         0.0      0.0      0.0   4667         
 488.2    177.7    355.40 0.820         0.0      0.0      0.0   4693         
 483.5    196.7    374.12 0.863         0.0      0.0      0.0   4719         
 478.5    214.3    391.60 0.903         0.0      0.0      0.0   4745         
 473.4    226.6    403.93 0.932         0.0      0.0      0.0   4771         
 468.6    237.2    414.63 0.957         0.0      0.0      0.0   4797         
 463.9    244.8    421.92 0.973         0.0      0.0      0.0   4822         
 459.0    250.1    427.52 0.986         0.0      0.0      0.0   4848         
 454.4    253.7    431.07 0.994         0.0      0.0      0.0   4874         
 449.7    255.8    433.07 0.999         0.0      0.0      0.0   4900         
 444.5    256.1    433.46 1.000         0.0      0.0      0.0   4926         
 439.9    255.7    433.23 0.999         0.0      0.0      0.0   4951         
 434.9    254.7    432.24 0.997         0.0      0.0      0.0   4977         
 430.5    253.1    430.79 0.994         0.0      0.0      0.0   5003         
 425.8    251.2    428.78 0.989         0.0      0.0      0.0   5028         
 420.9    248.1    425.55 0.982         0.0      0.0      0.0   5054         
 415.8    246.1    423.46 0.977         0.0      0.0      0.0   5080         
 410.5    243.9    421.09 0.971         0.0      0.0      0.0   5106         
 405.6    240.1    417.33 0.963         0.0      0.0      0.0   5131         
 400.6    237.4    414.51 0.956         0.0      0.0      0.0   5157         
 395.5    234.6    411.64 0.950         0.0      0.0      0.0   5183         
 390.3    230.8    407.96 0.941         0.0      0.0      0.0   5209         
 385.4    227.8    405.04 0.934         0.0      0.0      0.0   5234         
 380.5    224.4    401.45 0.926         0.0      0.0      0.0   5260         
 375.9    222.0    399.06 0.921         0.0      0.0      0.0   5286         
 371.1    219.3    396.43 0.915         0.0      0.0      0.0   5312         
 366.4    215.5    392.64 0.906         0.0      0.0      0.0   5337         
 361.5    213.0    390.21 0.900         0.0      0.0      0.0   5363         
 356.2    209.7    387.13 0.893         0.0      0.0      0.0   5389         
 350.8    206.6    383.95 0.886         0.0      0.0      0.0   5415         
 345.4    203.8    381.16 0.879         0.0      0.0      0.0   5441         
 340.2    200.4    377.57 0.871         0.0      0.0      0.0   5466         
 335.3    197.6    374.75 0.865         0.0      0.0      0.0   5492         
 330.3    195.0    372.06 0.858         0.0      0.0      0.0   5518         
 325.2    191.6    368.85 0.851         0.0      0.0      0.0   5544         
 319.8    189.1    366.36 0.845         0.0      0.0      0.0   5569         
 314.7    186.3    363.65 0.839         0.0      0.0      0.0   5595         
 309.8    183.6    360.95 0.833         0.0      0.0      0.0   5621         
 304.7    181.3    358.62 0.827         0.0      0.0      0.0   5647         
 299.4    178.8    356.12 0.822         0.0      0.0      0.0   5672         
 294.6    176.2    353.45 0.815         0.0      0.0      0.0   5698         
 289.6    173.7    350.84 0.809         0.0      0.0      0.0   5724         
 284.0    171.3    348.41 0.804         0.0      0.0      0.0   5750         
 278.8    168.5    345.69 0.798         0.0      0.0      0.0   5776         
 273.8    166.5    343.70 0.793         0.0      0.0      0.0   5802         
 268.6    164.3    341.58 0.788         0.0      0.0      0.0   5827         
 263.6    162.2    339.61 0.783         0.0      0.0      0.0   5854         
 258.7    159.9    337.26 0.778         0.0      0.0      0.0   5879         
 253.5    157.9    335.19 0.773         0.0      0.0      0.0   5905         
 248.7    156.3    333.65 0.770         0.0      0.0      0.0   5931         
 243.9    154.1    331.30 0.764         0.0      0.0      0.0   5957         
 238.8    152.4    329.47 0.760         0.0      0.0      0.0   5982         
 233.7    150.3    327.31 0.755         0.0      0.0      0.0   6008         
 228.9    148.9    325.90 0.752         0.0      0.0      0.0   6034         
 223.8    146.8    323.91 0.747         0.0      0.0      0.0   6060         
 219.0    145.3    322.29 0.744         0.0      0.0      0.0   6086         
 213.9    143.8    320.91 0.740         0.0      0.0      0.0   6111         
 209.2    142.3    319.33 0.737         0.0      0.0      0.0   6137         
 204.2    140.7    317.87 0.733         0.0      0.0      0.0   6163         
 199.3    139.3    316.39 0.730         0.0      0.0      0.0   6189         
 194.2    137.8    314.79 0.726         0.0      0.0      0.0   6214         
 189.3    136.3    313.24 0.723         0.0      0.0      0.0   6240         
 184.3    135.1    311.98 0.720         0.0      0.0      0.0   6266         
 179.4    133.7    310.83 0.717         0.0      0.0      0.0   6291         
 174.7    132.4    309.40 0.714         0.0      0.0      0.0   6317         
 170.1    131.2    308.41 0.712         0.0      0.0      0.0   6343         
 165.5    130.1    307.33 0.709         0.0      0.0      0.0   6368         
 160.7    128.7    306.00 0.706         0.0      0.0      0.0   6394         
 156.1    127.7    304.79 0.703         0.0      0.0      0.0   6420         
 151.3    126.3    303.54 0.700         0.0      0.0      0.0   6445         
 146.5    125.3    302.24 0.697         0.0      0.0      0.0   6471         
 141.9    124.3    301.40 0.695         0.0      0.0      0.0   6497         
 137.1    123.3    300.42 0.693         0.0      0.0      0.0   6522         
 132.7    122.1    299.44 0.691         0.0      0.0      0.0   6548         
 128.2    121.2    298.38 0.688         0.0      0.0      0.0   6574         
 123.8    120.0    297.29 0.686         0.0      0.0      0.0   6599         
 119.4    118.9    296.16 0.683         0.0      0.0      0.0   6625         
 115.1    118.0    295.37 0.681         0.0      0.0      0.0   6651         
 110.7    117.5    294.65 0.680         0.0      0.0      0.0   6676         
 106.5    116.2    293.51 0.677         0.0      0.0      0.0   6702         
 102.6    115.4    292.60 0.675         0.0      0.0      0.0   6728         
  98.6    114.5    291.69 0.673         0.0      0.0      0.0   6753         
  94.7    113.2    290.35 0.670         0.0      0.0      0.0   6779         
  90.7    112.5    289.76 0.668         0.0      0.0      0.0   6805         
  87.0    112.1    289.24 0.667         0.0      0.0      0.0   6830         
  83.3    111.2    288.48 0.666         0.0      0.0      0.0   6856         
  79.6    110.3    287.63 0.664         0.0      0.0      0.0   6882         
  76.1    109.6    286.90 0.662         0.0      0.0      0.0   6908         
  72.6    108.8    286.12 0.660         0.0      0.0      0.0   6933         
  69.4    108.4    285.74 0.659         0.0      0.0      0.0   6959         
  66.2    108.0    285.32 0.658         0.0      0.0      0.0   6985         
  62.9    106.9    284.22 0.656         0.0      0.0      0.0   7010         
  59.9    106.4    283.68 0.654         0.0      0.0      0.0   7036         
  56.9    105.9    283.17 0.653         0.0      0.0      0.0   7062         
  54.3    105.3    282.52 0.652         0.0      0.0      0.0   7087         
  51.7    104.9    282.17 0.651         0.0      0.0      0.0   7113         
  49.4    104.6    281.78 0.650         0.0      0.0      0.0   7138         
  47.2    104.3    281.45 0.649         0.0      0.0      0.0   7164         
  45.2    103.7    280.86 0.648         0.0      0.0      0.0   7190         
  43.4    103.5    280.66 0.647         0.0      0.0      0.0   7215         
  41.6    103.0    280.16 0.646         0.0      0.0      0.0   7241         
  40.4    102.8    279.96 0.646         0.0      0.0      0.0   7267         
