  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
 440.8    -75.3     99.44 0.367         0.0      0.0      0.0   1802         
 445.8    -68.2    106.61 0.394         0.0      0.0      0.0   1825         
 451.4    -61.5    113.33 0.418         0.0      0.0      0.0   1848         
 456.5    -55.9    118.92 0.439         0.0      0.0      0.0   1871         
 461.2    -50.3    124.53 0.460         0.0      0.0      0.0   1893         
 466.3    -45.2    129.63 0.479         0.0      0.0      0.0   1916         
 471.0    -39.7    135.14 0.499         0.0      0.0      0.0   1939         
 475.2    -34.4    140.43 0.519         0.0      0.0      0.0   1962         
 480.0    -29.1    145.77 0.538         0.0      0.0      0.0   1984         
 485.0    -23.5    151.37 0.559         0.0      0.0      0.0   2007         
 490.7    -17.4    157.52 0.582         0.0      0.0      0.0   2030         
 495.8    -11.4    163.55 0.604         0.0      0.0      0.0   2053         
 501.2     -4.4    170.62 0.630         0.0      0.0      0.0   2076         
 506.0      2.0    176.99 0.654         0.0      0.0      0.0   2099         
 511.2      8.6    183.59 0.678         0.0      0.0      0.0   2122         
 516.3     15.3    190.33 0.703         0.0      0.0      0.0   2144         
 521.7     22.1    197.17 0.728         0.0      0.0      0.0   2167         
 527.8     28.5    203.57 0.752         0.0      0.0      0.0   2190         
 533.0     34.2    209.32 0.773         0.0      0.0      0.0   2212         
 537.8     37.9    213.07 0.787         0.0      0.0      0.0   2235         
 542.7     38.5    213.70 0.789         0.0      0.0      0.0   2258         
 547.6     35.6    210.78 0.778         0.0      0.0      0.0   2281         
 552.8     27.4    202.69 0.748         0.0      0.0      0.0   2303         
 558.0     14.0    189.33 0.699         0.0      0.0      0.0   2326         
 562.6     -2.2    173.11 0.639         0.0      0.0      0.0   2349         
 566.9    -20.2    155.10 0.573         0.0      0.0      0.0   2372         
 571.5    -40.6    134.79 0.498         0.0      0.0      0.0   2395         
 577.1    -60.9    114.55 0.423         0.0      0.0      0.0   2418         
 582.3    -74.8    100.70 0.372         0.0      0.0      0.0   2440         
 587.6    -79.9     95.56 0.353         0.0      0.0      0.0   2463         
 592.6    -83.5     91.98 0.340         0.0      0.0      0.0   2486         
 597.5    -86.0     89.53 0.331         0.0      0.0      0.0   2509         
 602.5    -88.5     87.07 0.322         0.0      0.0      0.0   2532         
 607.2    -90.8     84.83 0.313         0.0      0.0      0.0   2555         
 611.6    -91.3     84.34 0.311         0.0      0.0      0.0   2577         
 615.9    -92.2     83.50 0.308         0.0      0.0      0.0   2600         
 619.4    -92.6     83.14 0.307         0.0      0.0      0.0   2623         
 624.7    -93.8     81.94 0.303         0.0      0.0      0.0   2646         
 630.4    -95.1     80.74 0.298         0.0      0.0      0.0   2669         
 636.1    -96.7     79.25 0.293         0.0      0.0      0.0   2692         
 641.4    -97.5     78.44 0.290         0.0      0.0      0.0   2715         
 646.2    -98.9     77.07 0.285         0.0      0.0      0.0   2738         
 652.5    -99.3     76.71 0.283         0.0      0.0      0.0   2761         
 657.6    -99.9     76.13 0.281         0.0      0.0      0.0   2783         
 663.6   -100.7     75.33 0.278         0.0      0.0      0.0   2806         
 668.8   -100.3     75.70 0.280         0.0      0.0      0.0   2829         
